Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank
2023,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,-82217.31493,0.13,0.07,0.14,4.34092202088021,165
2023,BK0203,Fort Greene,-225650.6732,0.16,0.09,0.10,4.53420730558644,159
2023,BK0204,Clinton Hill,-904474.3638,0.12,0.07,0.09,3.68614173088501,182
2023,BK0301,Bedford-Stuyvesant (West),1003226.768,0.16,0.07,0.10,6.09957404621829,37
2023,BK0302,Bedford-Stuyvesant (East),-1170859.96,0.17,0.08,0.10,3.49745687097932,185
2023,BK0401,Bushwick (West),1062227.42,0.16,0.06,0.16,5.86969499107922,54
2023,BK0402,Bushwick (East),421284.6439,0.16,0.06,0.14,5.477680407839,87
2023,BK0501,Cypress Hills,-816321.473,0.12,0.05,0.17,4.06173797776836,174
2023,BK0502,East New York (North),-567429.1908,0.18,0.11,0.15,4.79450671809214,150
2023,BK0503,East New York-New Lots,225689.695,0.19,0.13,0.13,6.00985900056885,42
2023,BK0504,Spring Creek-Starrett City,165093.6867,0.21,0.08,0.08,5.18597690377458,110
2023,BK0505,East New York-City Line,455552.9834,0.17,0.07,0.13,5.21889430702352,109
2023,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,701540.9248,0.14,0.08,0.10,5.68378611063927,65
2023,BK0602,Park Slope,519668.3874,0.07,0.06,0.10,5.46624550155122,90
2023,BK0701,Windsor Terrace-South Slope,408957.7151,0.07,0.06,0.10,5.51319416444421,81
2023,BK0702,Sunset Park (West),1300662.35,0.15,0.06,0.21,6.72486250598397,19
2023,BK0703,Sunset Park (Central),1017015.354,0.18,0.08,0.33,5.98518146138267,45
2023,BK0801,Prospect Heights,-255191.1564,0.10,0.05,0.09,4.33144572372438,166
2023,BK0802,Crown Heights (North),904955.1753,0.17,0.08,0.11,5.3247049125813,99
2023,BK0901,Crown Heights (South),428357.3896,0.16,0.08,0.14,5.02421319164314,129
2023,BK0902,Prospect Lefferts Gardens-Wingate,220152.9382,0.17,0.07,0.13,5.33081217592656,98
2023,BK1001,Bay Ridge,1686208.707,0.12,0.06,0.13,6.38137447532009,27
2023,BK1002,Dyker Heights,852818.4839,0.14,0.07,0.21,5.56824074226251,75
